order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,ExtractTime,source,late_delivery,latency_days,weekend,status_description
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-05-01 21:24:37.058428,Oracle,False,0,True,Completed
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-05-01 21:24:37.058428,Oracle,False,-1,True,Completed
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-05-01 21:24:37.058428,Oracle,False,-2,True,Completed
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-05-01 21:24:37.058428,Oracle,False,0,True,Completed
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-05-01 21:24:37.058428,Oracle,True,2,False,Completed
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-05-01 21:24:37.058428,Oracle,False,-2,False,Completed
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2024-05-01 21:24:37.058428,Oracle,True,1,True,Completed
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2024-05-01 21:24:37.058428,Oracle,True,2,True,Completed
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2024-05-01 21:24:37.058428,Oracle,False,-1,True,Completed
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-05-01 21:24:37.058428,Oracle,False,-2,False,Completed
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,2024-05-01 21:24:37.058428,Oracle,False,-2,False,Completed
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,2024-05-01 21:24:37.058428,Oracle,False,-2,False,Completed
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,2024-05-01 21:24:37.058428,Oracle,False,-1,True,Completed
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,2024-05-01 21:24:37.058428,Oracle,False,0,True,Completed
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,2024-05-01 21:24:37.058428,Oracle,False,-2,False,Completed
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,2024-05-01 21:24:37.058428,Oracle,False,0,False,Completed
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,2024-05-01 21:24:37.058428,Oracle,True,2,False,Completed
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,2024-05-01 21:24:37.058428,Oracle,True,2,False,Completed
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,2024-05-01 21:24:37.058428,Oracle,False,0,True,Completed
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,2024-05-01 21:24:37.058428,Oracle,False,0,True,Completed
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,2024-05-01 21:24:37.058428,Oracle,True,1,True,Completed
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,2024-05-01 21:24:37.058428,Oracle,True,1,False,Completed
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,2024-05-01 21:24:37.058428,Oracle,False,0,True,Completed
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,2024-05-01 21:24:37.058428,Oracle,False,-1,False,Completed
