order_id,item_id,product_id,quantity,list_price,discount,ExtractTime,source,key,list_price_egp
1,1.0,20,1,599.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
1,2.0,8,2,1799.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,86153.281368
1,3.0,10,2,1549.0,0.05,2024-05-01 21:24:37.030417,Oracle,1,74140.0968
1,4.0,16,2,599.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
1,5.0,4,1,2899.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,138802.801368
2,1.0,20,1,599.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
2,2.0,16,2,599.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
3,1.0,3,1,999.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,47862.721368
3,2.0,20,1,599.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
4,1.0,2,2,749.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,35896.921368
5,1.0,10,2,1549.0,0.05,2024-05-01 21:24:37.030417,Oracle,1,74140.0968
5,2.0,17,1,429.0,0.07,2024-05-01 21:24:37.030417,Oracle,1,20533.3128
5,3.0,26,1,599.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
6,1.0,18,1,449.0,0.07,2024-05-01 21:24:37.030417,Oracle,1,21490.5768
6,2.0,12,2,549.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,26324.281368
6,3.0,20,1,599.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
6,4.0,3,2,999.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,47862.721368
6,5.0,9,2,2999.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,143589.121368
7,1.0,15,1,529.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,25367.017368
7,2.0,3,1,999.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,47862.721368
7,3.0,17,2,429.0,0.1,2024-05-01 21:24:37.030417,Oracle,1,20533.3128
8,1.0,22,1,269.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
8,2.0,20,2,599.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
9,1.0,7,2,3999.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,191452.32136799998
10,1.0,14,1,269.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
11,1.0,8,1,1799.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,86153.281368
11,2.0,22,2,269.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
11,3.0,16,2,599.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
12,1.0,4,2,2899.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,138802.801368
12,2.0,11,1,1680.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,80457.560568
13,1.0,13,1,269.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
13,2.0,17,2,429.0,0.05,2024-05-01 21:24:37.030417,Oracle,1,20533.3128
13,3.0,20,2,599.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
13,4.0,16,2,599.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
14,1.0,6,1,469.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,22495.225368
15,1.0,12,2,549.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,26324.281368
15,2.0,8,1,1799.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,86153.281368
15,3.0,18,2,449.0,0.05,2024-05-01 21:24:37.030417,Oracle,1,21490.5768
15,4.0,23,2,299.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,14358.481368
16,1.0,8,1,1799.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,86153.281368
16,2.0,21,1,269.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
16,3.0,13,2,269.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
16,4.0,14,1,269.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
17,1.0,8,1,1799.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,86153.281368
17,2.0,23,1,299.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,14358.481368
17,3.0,5,1,1320.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,63226.808568
17,4.0,20,2,599.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
18,1.0,2,2,749.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,35896.921368
18,2.0,22,1,269.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
18,3.0,7,1,3999.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,191452.32136799998
18,4.0,25,2,499.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,23931.121368
18,5.0,9,2,2999.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,143589.121368
19,1.0,10,1,1549.0,0.07,2024-05-01 21:24:37.030417,Oracle,1,74140.0968
19,2.0,9,2,2999.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,143589.121368
20,1.0,9,1,2999.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,143589.121368
20,2.0,10,2,1549.0,0.07,2024-05-01 21:24:37.030417,Oracle,1,74140.0968
21,1.0,14,1,269.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
21,2.0,17,1,429.0,0.1,2024-05-01 21:24:37.030417,Oracle,1,20533.3128
21,3.0,10,1,1549.0,0.07,2024-05-01 21:24:37.030417,Oracle,1,74140.0968
22,1.0,15,2,529.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,25367.017368
22,2.0,22,1,269.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
23,1.0,4,2,2899.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,138802.801368
23,2.0,23,2,299.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,14358.481368
23,3.0,13,1,269.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
24,1.0,3,2,999.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,47862.721368
24,2.0,18,2,449.0,0.07,2024-05-01 21:24:37.030417,Oracle,1,21490.5768
25,1.0,23,2,299.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,14358.481368
25,2.0,10,2,1549.0,0.2,2024-05-01 21:24:37.030417,Oracle,1,74140.0968
25,3.0,22,1,269.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
25,4.0,14,1,269.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
25,5.0,21,1,269.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
26,1.0,7,1,3999.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,191452.32136799998
26,2.0,2,1,749.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,35896.921368
26,3.0,12,1,549.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,26324.281368
26,4.0,21,2,269.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
27,1.0,5,1,1320.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,63226.808568
27,2.0,19,1,449.0,0.2,2024-05-01 21:24:37.030417,Oracle,1,21490.5768
27,3.0,26,2,599.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,28717.441368
27,4.0,8,1,1799.99,0.07,2024-05-01 21:24:37.030417,Oracle,1,86153.281368
28,1.0,5,1,1320.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,63226.808568
28,2.0,7,2,3999.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,191452.32136799998
28,3.0,14,2,269.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
28,4.0,6,1,469.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,22495.225368
29,1.0,24,2,549.99,0.05,2024-05-01 21:24:37.030417,Oracle,1,26324.281368
29,2.0,6,1,469.99,0.2,2024-05-01 21:24:37.030417,Oracle,1,22495.225368
29,3.0,21,2,269.99,0.1,2024-05-01 21:24:37.030417,Oracle,1,12922.585368
