store_id,product_id,quantity,Extract Time,Source
1,1,27,2024-05-01 21:24:41.482373,datalake
1,2,5,2024-05-01 21:24:41.482373,datalake
1,3,6,2024-05-01 21:24:41.482373,datalake
1,4,23,2024-05-01 21:24:41.482373,datalake
1,5,22,2024-05-01 21:24:41.482373,datalake
1,6,0,2024-05-01 21:24:41.482373,datalake
1,7,8,2024-05-01 21:24:41.482373,datalake
1,8,0,2024-05-01 21:24:41.482373,datalake
1,9,11,2024-05-01 21:24:41.482373,datalake
1,10,15,2024-05-01 21:24:41.482373,datalake
1,11,8,2024-05-01 21:24:41.482373,datalake
1,12,16,2024-05-01 21:24:41.482373,datalake
1,13,13,2024-05-01 21:24:41.482373,datalake
1,14,8,2024-05-01 21:24:41.482373,datalake
1,15,3,2024-05-01 21:24:41.482373,datalake
1,16,4,2024-05-01 21:24:41.482373,datalake
1,17,2,2024-05-01 21:24:41.482373,datalake
1,18,16,2024-05-01 21:24:41.482373,datalake
1,19,4,2024-05-01 21:24:41.482373,datalake
1,20,26,2024-05-01 21:24:41.482373,datalake
1,21,24,2024-05-01 21:24:41.482373,datalake
1,22,29,2024-05-01 21:24:41.482373,datalake
1,23,9,2024-05-01 21:24:41.482373,datalake
1,24,10,2024-05-01 21:24:41.482373,datalake
1,25,10,2024-05-01 21:24:41.482373,datalake
1,26,16,2024-05-01 21:24:41.482373,datalake
1,27,21,2024-05-01 21:24:41.482373,datalake
1,28,20,2024-05-01 21:24:41.482373,datalake
1,29,13,2024-05-01 21:24:41.482373,datalake
1,30,30,2024-05-01 21:24:41.482373,datalake
1,31,2,2024-05-01 21:24:41.482373,datalake
1,32,0,2024-05-01 21:24:41.482373,datalake
1,33,10,2024-05-01 21:24:41.482373,datalake
1,34,2,2024-05-01 21:24:41.482373,datalake
1,35,18,2024-05-01 21:24:41.482373,datalake
1,36,26,2024-05-01 21:24:41.482373,datalake
1,37,12,2024-05-01 21:24:41.482373,datalake
1,38,13,2024-05-01 21:24:41.482373,datalake
1,39,2,2024-05-01 21:24:41.482373,datalake
1,40,24,2024-05-01 21:24:41.482373,datalake
1,41,10,2024-05-01 21:24:41.482373,datalake
1,42,0,2024-05-01 21:24:41.482373,datalake
1,43,2,2024-05-01 21:24:41.482373,datalake
1,44,1,2024-05-01 21:24:41.482373,datalake
1,45,15,2024-05-01 21:24:41.482373,datalake
1,46,19,2024-05-01 21:24:41.482373,datalake
1,47,21,2024-05-01 21:24:41.482373,datalake
1,48,5,2024-05-01 21:24:41.482373,datalake
1,49,8,2024-05-01 21:24:41.482373,datalake
1,50,29,2024-05-01 21:24:41.482373,datalake
1,51,2,2024-05-01 21:24:41.482373,datalake
1,52,18,2024-05-01 21:24:41.482373,datalake
1,53,17,2024-05-01 21:24:41.482373,datalake
1,54,11,2024-05-01 21:24:41.482373,datalake
1,55,11,2024-05-01 21:24:41.482373,datalake
1,56,15,2024-05-01 21:24:41.482373,datalake
1,57,1,2024-05-01 21:24:41.482373,datalake
1,58,1,2024-05-01 21:24:41.482373,datalake
1,59,22,2024-05-01 21:24:41.482373,datalake
1,60,19,2024-05-01 21:24:41.482373,datalake
1,61,30,2024-05-01 21:24:41.482373,datalake
1,62,21,2024-05-01 21:24:41.482373,datalake
1,63,4,2024-05-01 21:24:41.482373,datalake
1,64,30,2024-05-01 21:24:41.482373,datalake
1,65,10,2024-05-01 21:24:41.482373,datalake
1,66,12,2024-05-01 21:24:41.482373,datalake
1,67,19,2024-05-01 21:24:41.482373,datalake
1,68,30,2024-05-01 21:24:41.482373,datalake
1,69,4,2024-05-01 21:24:41.482373,datalake
1,70,3,2024-05-01 21:24:41.482373,datalake
1,71,25,2024-05-01 21:24:41.482373,datalake
1,72,9,2024-05-01 21:24:41.482373,datalake
1,73,7,2024-05-01 21:24:41.482373,datalake
1,74,9,2024-05-01 21:24:41.482373,datalake
1,75,23,2024-05-01 21:24:41.482373,datalake
1,76,15,2024-05-01 21:24:41.482373,datalake
1,77,16,2024-05-01 21:24:41.482373,datalake
1,78,13,2024-05-01 21:24:41.482373,datalake
1,79,13,2024-05-01 21:24:41.482373,datalake
1,80,11,2024-05-01 21:24:41.482373,datalake
1,81,25,2024-05-01 21:24:41.482373,datalake
1,82,1,2024-05-01 21:24:41.482373,datalake
1,83,13,2024-05-01 21:24:41.482373,datalake
1,84,11,2024-05-01 21:24:41.482373,datalake
1,85,23,2024-05-01 21:24:41.482373,datalake
1,86,19,2024-05-01 21:24:41.482373,datalake
1,87,27,2024-05-01 21:24:41.482373,datalake
1,88,7,2024-05-01 21:24:41.482373,datalake
1,89,9,2024-05-01 21:24:41.482373,datalake
1,90,4,2024-05-01 21:24:41.482373,datalake
1,91,8,2024-05-01 21:24:41.482373,datalake
1,92,0,2024-05-01 21:24:41.482373,datalake
1,93,22,2024-05-01 21:24:41.482373,datalake
1,94,6,2024-05-01 21:24:41.482373,datalake
1,95,25,2024-05-01 21:24:41.482373,datalake
1,96,20,2024-05-01 21:24:41.482373,datalake
1,97,20,2024-05-01 21:24:41.482373,datalake
1,98,28,2024-05-01 21:24:41.482373,datalake
1,99,28,2024-05-01 21:24:41.482373,datalake
1,100,15,2024-05-01 21:24:41.482373,datalake
1,101,17,2024-05-01 21:24:41.482373,datalake
1,102,9,2024-05-01 21:24:41.482373,datalake
1,103,13,2024-05-01 21:24:41.482373,datalake
1,104,25,2024-05-01 21:24:41.482373,datalake
1,105,7,2024-05-01 21:24:41.482373,datalake
1,106,30,2024-05-01 21:24:41.482373,datalake
1,107,20,2024-05-01 21:24:41.482373,datalake
1,108,15,2024-05-01 21:24:41.482373,datalake
1,109,30,2024-05-01 21:24:41.482373,datalake
1,110,1,2024-05-01 21:24:41.482373,datalake
1,111,11,2024-05-01 21:24:41.482373,datalake
1,112,17,2024-05-01 21:24:41.482373,datalake
1,113,24,2024-05-01 21:24:41.482373,datalake
1,114,3,2024-05-01 21:24:41.482373,datalake
1,115,10,2024-05-01 21:24:41.482373,datalake
1,116,24,2024-05-01 21:24:41.482373,datalake
1,117,15,2024-05-01 21:24:41.482373,datalake
1,118,12,2024-05-01 21:24:41.482373,datalake
1,119,17,2024-05-01 21:24:41.482373,datalake
1,120,23,2024-05-01 21:24:41.482373,datalake
1,121,19,2024-05-01 21:24:41.482373,datalake
1,122,22,2024-05-01 21:24:41.482373,datalake
1,123,8,2024-05-01 21:24:41.482373,datalake
1,124,23,2024-05-01 21:24:41.482373,datalake
1,125,22,2024-05-01 21:24:41.482373,datalake
1,126,28,2024-05-01 21:24:41.482373,datalake
1,127,12,2024-05-01 21:24:41.482373,datalake
1,128,11,2024-05-01 21:24:41.482373,datalake
1,129,21,2024-05-01 21:24:41.482373,datalake
1,130,22,2024-05-01 21:24:41.482373,datalake
1,131,20,2024-05-01 21:24:41.482373,datalake
1,132,1,2024-05-01 21:24:41.482373,datalake
1,133,9,2024-05-01 21:24:41.482373,datalake
1,134,26,2024-05-01 21:24:41.482373,datalake
1,135,15,2024-05-01 21:24:41.482373,datalake
1,136,12,2024-05-01 21:24:41.482373,datalake
1,137,12,2024-05-01 21:24:41.482373,datalake
1,138,6,2024-05-01 21:24:41.482373,datalake
1,139,17,2024-05-01 21:24:41.482373,datalake
1,140,3,2024-05-01 21:24:41.482373,datalake
1,141,21,2024-05-01 21:24:41.482373,datalake
1,142,22,2024-05-01 21:24:41.482373,datalake
